i,t,C_geninv_it,C_gen_it,f_it,CO2_it,D_it,PS_it
1,1,1,2,1,10,5,5
1,2,1,2,1,10,5,5
1,3,1,2,1,10,5,5
1,4,1,2,1,10,5,5
1,5,1,2,1,10,5,5
1,6,1,2,1,10,5,5
2,1,1,2,1,1,5,5
2,2,1,2,1,1,5,5
2,3,1,2,1,1,5,5
2,4,1,2,1,1,5,5
2,5,1,2,1,1,5,5
2,6,1,2,1,1,5,5
3,1,1,2,1,10,0,5
3,2,1,2,1,10,0,5
3,3,1,2,1,10,0,5
3,4,1,2,1,10,0,5
3,5,1,2,1,10,0,5
3,6,1,2,1,10,0,5
4,1,2,3,1,10,5,5
4,2,2,3,1,10,5,5
4,3,2,3,1,10,5,5
4,4,2,3,1,10,5,5
4,5,2,3,1,10,5,5
4,6,2,3,1,10,5,5
5,1,4,6,1,10,5,5
5,2,4,6,1,10,5,5
5,3,4,6,1,10,5,5
5,4,4,6,1,10,5,5
5,5,4,6,1,10,5,5
5,6,4,6,1,10,5,5
6,1,2,3,1,10,5,4
6,2,2,5,1,10,5,4
6,3,2,5,1,10,5,4
6,4,2,5,1,10,5,4
6,5,2,5,1,10,5,4
6,6,2,5,1,10,5,4
7,1,2,3,1,10,5,6
7,2,2,5,1,10,5,6
7,3,2,5,1,10,5,6
7,4,2,5,1,10,5,6
7,5,2,5,1,10,5,6
7,6,2,5,1,10,5,6
8,1,1,2,1,10,5,5
8,2,1,2,1,1,5,5
8,3,2,3,1,10,5,5
8,4,4,6,1,10,5,5
8,5,2,5,1,10,5,4
8,6,2,5,1,10,5,6
