s,c_H_1_1,c_H_1_2,c_H_2_1,c_H_2_2,c_G_1_1,c_G_1_2,c_G_2_1,c_G_2_2,c_F,obj_value,h_1_1,h_1_2,h_2_1,h_2_2,g_1_1_t[1],g_1_1_t[2],g_1_1_t[3],g_1_2_t[1],g_1_2_t[2],g_1_2_t[3],g_2_1_t[1],g_2_1_t[2],g_2_1_t[3],g_2_2_t[1],g_2_2_t[2],g_2_2_t[3],f_t [1],f_t[2],f_t[3],F,count no of cells with non zero values
1,1,1,2,2,1,1,2,2,2,72,0,15,0,5,0,0,0,2,10,15,0,0,0,0,0,5,1,5,5,5,2
2,1,2,3,4,1,2,3,4,50,104,10,0,10,0,1,5,10,0,0,0,1,5,10,0,0,0,0,0,0,0,2
3,1,2,3,4,4,3,2,1,5,124,0,10,0,10,0,0,0,1,5,10,0,0,0,1,5,10,0,0,0,0,2
4,1,1,1,1,1,1,1,1,1,52,0,10,0,10,0,0,0,1,5,10,0,0,0,1,5,10,0,0,0,0,2
5,2,1,1,1,1,1,1,1,1,52,0,10,0,10,0,0,0,1,5,10,0,0,0,1,5,10,0,0,0,0,2
6,1,2,1,1,1,1,1,1,1,52,10,0,0,10,1,5,10,0,0,0,0,0,0,1,5,10,0,0,0,0,2
7,1,1,2,1,1,1,1,1,1,52,0,10,0,10,0,0,0,1,5,10,0,0,0,1,5,10,0,0,0,0,2
8,1,1,1,2,1,1,1,1,1,52,0,10,10,0,0,0,0,1,5,10,1,5,10,0,0,0,0,0,0,0,2
9,1,1,1,1,2,1,1,1,1,52,0,10,0,10,0,0,0,1,5,10,0,0,0,1,5,10,0,0,0,0,2
10,1,1,1,1,1,2,1,1,1,52,10,0,0,10,1,5,10,0,0,0,0,0,0,1,5,10,0,0,0,0,2
11,1,1,1,1,1,1,2,1,1,52,0,10,0,10,0,0,0,1,5,10,0,0,0,1,5,10,0,0,0,0,2
12,1,1,1,1,1,1,1,2,1,52,0,10,10,0,0,0,0,1,5,10,1,5,10,0,0,0,0,0,0,0,2
13,1,1,1,1,1,1,1,1,2,52,0,10,0,10,0,0,0,1,5,10,0,0,0,1,5,10,0,0,0,0,2
14,3,1,1,1,1,1,1,1,1,52,0,10,0,10,0,0,0,1,5,10,0,0,0,1,5,10,0,0,0,0,2
15,1,3,1,1,1,1,1,1,1,52,10,0,0,10,1,5,10,0,0,0,0,0,0,1,5,10,0,0,0,0,2
16,1,1,3,1,1,1,1,1,1,52,0,10,0,10,0,0,0,1,5,10,0,0,0,1,5,10,0,0,0,0,2
17,1,1,1,3,1,1,1,1,1,52,0,10,10,0,0,0,0,1,5,10,1,5,10,0,0,0,0,0,0,0,2
18,1,1,1,1,3,1,1,1,1,52,0,10,0,10,0,0,0,1,5,10,0,0,0,1,5,10,0,0,0,0,2
19,1,1,1,1,1,3,1,1,1,52,10,0,0,10,1,5,10,0,0,0,0,0,0,1,5,10,0,0,0,0,2
20,1,1,1,1,1,1,3,1,1,52,0,10,0,10,0,0,0,1,5,10,0,0,0,1,5,10,0,0,0,0,2
21,1,1,1,1,1,1,1,3,1,52,0,10,10,0,0,0,0,1,5,10,1,5,10,0,0,0,0,0,0,0,2
22,1,1,1,1,1,1,1,1,3,52,0,10,0,10,0,0,0,1,5,10,0,0,0,1,5,10,0,0,0,0,2
23,4,1,1,1,1,1,1,1,1,52,0,10,0,10,0,0,0,1,5,10,0,0,0,1,5,10,0,0,0,0,2
24,1,4,1,1,1,1,1,1,1,52,10,0,0,10,1,5,10,0,0,0,0,0,0,1,5,10,0,0,0,0,2
25,1,1,4,1,1,1,1,1,1,52,0,10,0,10,0,0,0,1,5,10,0,0,0,1,5,10,0,0,0,0,2
26,1,1,1,4,1,1,1,1,1,52,0,10,10,0,0,0,0,1,5,10,1,5,10,0,0,0,0,0,0,0,2
27,1,1,1,1,4,1,1,1,1,52,0,10,0,10,0,0,0,1,5,10,0,0,0,1,5,10,0,0,0,0,2
28,1,1,1,1,1,4,1,1,1,52,10,0,0,10,1,5,10,0,0,0,0,0,0,1,5,10,0,0,0,0,2
29,1,1,1,1,1,1,4,1,1,52,0,10,0,10,0,0,0,1,5,10,0,0,0,1,5,10,0,0,0,0,2
30,1,1,1,1,1,1,1,4,1,52,0,10,10,0,0,0,0,1,5,10,1,5,10,0,0,0,0,0,0,0,2
31,1,1,1,1,1,1,1,1,4,52,0,10,0,10,0,0,0,1,5,10,0,0,0,1,5,10,0,0,0,0,2
32,5,1,1,1,1,1,1,1,1,52,0,10,0,10,0,0,0,1,5,10,0,0,0,1,5,10,0,0,0,0,2
33,1,5,1,1,1,1,1,1,1,52,10,0,0,10,1,5,10,0,0,0,0,0,0,1,5,10,0,0,0,0,2
34,1,1,5,1,1,1,1,1,1,52,0,10,0,10,0,0,0,1,5,10,0,0,0,1,5,10,0,0,0,0,2
35,1,1,1,5,1,1,1,1,1,52,0,10,10,0,0,0,0,1,5,10,1,5,10,0,0,0,0,0,0,0,2
36,1,1,1,1,5,1,1,1,1,52,0,10,0,10,0,0,0,1,5,10,0,0,0,1,5,10,0,0,0,0,2
37,1,1,1,1,1,5,1,1,1,52,10,0,0,10,1,5,10,0,0,0,0,0,0,1,5,10,0,0,0,0,2
38,1,1,1,1,1,1,5,1,1,52,0,10,0,10,0,0,0,1,5,10,0,0,0,1,5,10,0,0,0,0,2
39,1,1,1,1,1,1,1,5,1,52,0,10,10,0,0,0,0,1,5,10,1,5,10,0,0,0,0,0,0,0,2
40,1,1,1,1,1,1,1,1,5,52,0,10,0,10,0,0,0,1,5,10,0,0,0,1,5,10,0,0,0,0,2
41,6,1,1,1,1,1,1,1,1,52,0,10,0,10,0,0,0,1,5,10,0,0,0,1,5,10,0,0,0,0,2
42,1,6,1,1,1,1,1,1,1,52,10,0,0,10,1,5,10,0,0,0,0,0,0,1,5,10,0,0,0,0,2
43,1,1,6,1,1,1,1,1,1,52,0,10,0,10,0,0,0,1,5,10,0,0,0,1,5,10,0,0,0,0,2
44,1,1,1,6,1,1,1,1,1,52,0,10,10,0,0,0,0,1,5,10,1,5,10,0,0,0,0,0,0,0,2
45,1,1,1,1,6,1,1,1,1,52,0,10,0,10,0,0,0,1,5,10,0,0,0,1,5,10,0,0,0,0,2
46,1,1,1,1,1,6,1,1,1,52,10,0,0,10,1,5,10,0,0,0,0,0,0,1,5,10,0,0,0,0,2
47,1,1,1,1,1,1,6,1,1,52,0,10,0,10,0,0,0,1,5,10,0,0,0,1,5,10,0,0,0,0,2
48,1,1,1,1,1,1,1,6,1,52,0,10,10,0,0,0,0,1,5,10,1,5,10,0,0,0,0,0,0,0,2
49,1,1,1,1,1,1,1,1,6,52,0,10,0,10,0,0,0,1,5,10,0,0,0,1,5,10,0,0,0,0,2
50,7,1,1,1,1,1,1,1,1,52,0,10,0,10,0,0,0,1,5,10,0,0,0,1,5,10,0,0,0,0,2
51,1,7,1,1,1,1,1,1,1,52,10,0,0,10,1,5,10,0,0,0,0,0,0,1,5,10,0,0,0,0,2
52,1,1,7,1,1,1,1,1,1,52,0,10,0,10,0,0,0,1,5,10,0,0,0,1,5,10,0,0,0,0,2
53,1,1,1,7,1,1,1,1,1,52,0,10,10,0,0,0,0,1,5,10,1,5,10,0,0,0,0,0,0,0,2
54,1,1,1,1,7,1,1,1,1,52,0,10,0,10,0,0,0,1,5,10,0,0,0,1,5,10,0,0,0,0,2
55,1,1,1,1,1,7,1,1,1,52,10,0,0,10,1,5,10,0,0,0,0,0,0,1,5,10,0,0,0,0,2
56,1,1,1,1,1,1,7,1,1,52,0,10,0,10,0,0,0,1,5,10,0,0,0,1,5,10,0,0,0,0,2
57,1,1,1,1,1,1,1,7,1,52,0,10,10,0,0,0,0,1,5,10,1,5,10,0,0,0,0,0,0,0,2
58,1,1,1,1,1,1,1,1,7,52,0,10,0,10,0,0,0,1,5,10,0,0,0,1,5,10,0,0,0,0,2
59,8,1,1,1,1,1,1,1,1,52,0,10,0,10,0,0,0,1,5,10,0,0,0,1,5,10,0,0,0,0,2
60,1,8,1,1,1,1,1,1,1,52,10,0,0,10,1,5,10,0,0,0,0,0,0,1,5,10,0,0,0,0,2
